,,,,30-Nov-15,,01-Dec-15,,02-Dec-15,,03-Dec-15,,05-Dec-15,,07-Dec-15,,08-Dec-15,,09-Dec-15,,10-Dec-15,,12-Dec-15,,14-Dec-15,,15-Dec-15,,16-Dec-15,,17-Dec-15,,19-Dec-15,,21-Dec-15,,22-Dec-15,,23-Dec-15,,26-Dec-15,,29-Dec-15,,30-Dec-15,,02-Jan-16,,04-Jan-16,,05-Jan-16,,06-Jan-16,,07-Jan-16,,09-Jan-16,,11-Jan-16,,12-Jan-16,,13-Jan-16,,14-Jan-16,,16-Jan-16,,18-Jan-16,,19-Jan-16,,20-Jan-16,,21-Jan-16,,23-Jan-16,,25-Jan-16,,26-Jan-16,,27-Jan-16,,28-Jan-16,,30-Jan-16,,01-Feb-16,,02-Feb-16,,03-Feb-16,,04-Feb-16,,06-Feb-16,,08-Feb-16,,09-Feb-16,,10-Feb-16,,11-Feb-16,,13-Feb-16,,15-Feb-16,,16-Feb-16,,17-Feb-16,,18-Feb-16,,20-Feb-16,,22-Feb-16,,23-Feb-16,,24-Feb-16,,25-Feb-16,,27-Feb-16,
"Bath, Gloucestershire, Swindon And Wiltshire Area Team",,RNZ,Salisbury NHS Foundation Trust,9,8,10,10,10,10,11,11,9,8,9,7,9,7,9,9,9,9,9,7,9,8,9,8,9,9,10,10,9,8,9,7,9,5,9,5,9,6,10,10,9,9,9,8,9,8,9,8,9,9,9,7,9,8,9,9,9,8,9,8,9,6,10,10,9,8,9,6,9,5,9,5,9,6,9,7,9,7,9,7,9,0,9,6,9,6,9,7,9,5,9,6,9,5,9,5,9,2,9,8,9,9,9,9,10,10,10,10,9,6,9,7,12,12,12,12,10,10,10,10,9,9,9,9
"Bath, Gloucestershire, Swindon And Wiltshire Area Team",,RTE,Gloucestershire Hospitals NHS Foundation Trust,24,19,23,18,19,18,19,19,18,15,18,17,20,19,23,19,24,20,18,15,22,13,18,17,23,15,22,11,18,13,18,13,19,19,18,15,18,13,18,16,18,16,19,18,22,21,19,18,23,20,22,20,18,11,19,16,19,17,23,16,22,16,19,17,23,16,19,18,24,19,20,20,19,18,24,22,24,22,25,24,23,23,23,19,24,20,20,20,19,18,18,18,24,19,23,23,18,16,18,16,22,14,19,17,23,23,21,20,19,19,21,21,18,14,22,19,21,21,25,22,24,22,20,18
Birmingham And The Black Country Area Team,,RBK,Walsall Healthcare NHS Trust,13,13,13,11,13,10,13,13,13,13,13,13,14,14,13,12,13,13,13,13,13,13,16,16,14,14,14,14,14,14,14,14,14,14,13,10,13,13,13,10,13,11,13,13,13,13,14,14,13,13,13,12,14,14,16,16,15,15,14,14,13,13,13,13,15,15,13,13,13,12,13,12,13,13,13,13,13,12,13,13,14,14,13,13,16,16,13,13,14,14,14,14,13,13,13,12,14,14,13,13,13,13,14,14,14,14,14,14,13,12,13,12,13,11,13,12,13,13,13,10,13,11,13,13
Birmingham And The Black Country Area Team,,RL4,The Royal Wolverhampton NHS Trust,28,23,28,19,28,17,28,24,28,25,28,21,28,23,28,25,28,22,28,26,28,24,28,27,28,22,28,22,28,19,28,22,28,22,28,21,28,13,28,15,28,18,28,14,28,14,28,22,28,24,28,22,28,20,28,23,28,21,28,24,28,23,28,19,28,21,28,19,28,21,28,22,28,19,28,24,28,24,28,23,28,19,28,20,28,19,28,21,28,21,28,21,28,18,28,21,28,19,28,21,28,18,28,14,28,18,28,20,28,19,28,16,28,15,28,16,28,21,28,20,28,20,28,17
Birmingham And The Black Country Area Team,,RLU,Birmingham Women's NHS Foundation Trust,4,4,4,1,4,2,4,3,4,3,4,3,4,2,4,0,4,0,4,0,4,1,4,2,4,1,4,4,4,2,4,2,4,3,4,4,4,2,4,2,4,2,4,1,4,1,4,4,4,2,4,2,4,4,4,1,4,2,4,2,4,2,4,1,4,1,4,1,4,2,4,1,4,4,4,2,4,4,4,2,5,5,5,2,5,2,4,2,4,3,4,2,4,2,4,3,4,4,4,3,4,2,4,3,4,4,4,3,4,1,4,2,4,3,4,3,4,3,4,1,4,1,4,4
Birmingham And The Black Country Area Team,,RNA,The Dudley Group NHS Foundation Trust,20,14,20,14,20,14,20,16,20,17,20,13,20,14,20,12,20,14,20,14,20,13,20,16,20,18,20,14,20,12,20,16,20,17,20,13,20,15,20,16,20,12,20,17,20,20,20,20,20,20,20,20,20,17,20,20,20,17,20,19,20,19,20,15,20,11,20,14,20,15,20,16,20,13,20,16,20,20,20,20,20,20,20,18,20,20,20,20,20,19,20,20,20,20,20,20,20,17,20,16,20,19,20,20,20,18,20,20,20,19,20,19,20,20,20,19,20,20,20,19,20,20,20,17
Birmingham And The Black Country Area Team,,RQ3,Birmingham Children's Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham And The Black Country Area Team,,RR1,Heart Of England NHS Foundation Trust,30,19,30,18,30,18,30,19,30,19,30,15,30,18,30,20,30,19,30,20,30,21,30,17,30,17,30,19,30,17,30,22,30,18,30,21,30,17,30,19,30,21,30,26,30,19,30,20,30,21,30,22,30,22,30,22,30,22,30,23,30,21,30,20,30,20,30,23,30,23,-,-,30,25,30,20,30,20,30,19,30,23,30,19,30,19,30,19,30,23,30,22,30,20,30,19,30,18,30,19,30,24,30,15,30,15,30,18,30,17,30,20,30,18,30,18,30,20,30,18,30,20,30,18
Birmingham And The Black Country Area Team,,RRK,University Hospitals Birmingham NHS Foundation Trust,69,68,69,67,76,76,74,73,68,68,72,71,72,72,75,75,75,74,75,75,76,75,74,73,73,72,70,69,73,68,68,64,62,61,67,65,62,55,64,59,63,61,67,64,65,64,67,63,68,66,72,70,68,66,72,69,67,67,74,74,72,69,75,75,75,73,77,73,76,74,76,74,75,73,75,75,74,74,75,72,72,71,79,77,75,72,73,72,78,76,75,74,77,77,79,73,71,71,76,74,71,68,69,67,69,64,68,64,63,62,63,63,67,63,68,64,72,69,72,69,72,69,70,70
Birmingham And The Black Country Area Team,,RXK,Sandwell And West Birmingham Hospitals NHS Trust,19,15,16,11,16,14,16,13,14,10,15,11,17,13,14,9,13,9,15,12,16,12,20,17,16,16,14,10,16,11,15,14,17,15,16,13,18,16,18,15,18,16,18,17,18,18,21,20,20,20,19,19,22,22,22,21,22,21,17,16,18,15,17,15,17,14,18,17,18,17,18,17,16,15,17,17,18,17,19,18,19,19,17,17,19,16,20,19,20,18,19,16,16,15,17,16,16,15,17,14,17,16,17,16,23,22,20,20,18,16,20,19,17,16,19,18,18,16,17,16,18,16,18,17
"Bristol, North Somerset, Somerset And South Gloucestershire Area Team",,RA3,Weston Area Health NHS Trust,6,6,5,5,5,4,5,3,5,5,5,3,5,4,5,4,5,5,-,-,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,3,5,3,5,5,5,3,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,3,5,4,5,3,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,3,5,3,5,5
"Bristol, North Somerset, Somerset And South Gloucestershire Area Team",,RA4,Yeovil District Hospital NHS Foundation Trust,10,8,10,7,10,9,10,8,10,8,10,7,10,7,10,7,10,7,10,9,10,9,10,10,10,9,10,9,10,9,10,8,10,7,10,4,10,9,10,9,10,9,10,7,10,8,10,8,10,6,10,8,10,9,10,8,10,8,10,8,10,9,10,8,10,9,10,7,10,9,-,-,10,10,10,9,10,8,10,9,10,9,10,8,10,8,10,10,10,10,10,8,10,8,10,9,10,9,10,8,10,9,10,9,10,10,10,9,10,10,10,9,10,8,10,9,10,6,10,8,10,8,10,9
"Bristol, North Somerset, Somerset And South Gloucestershire Area Team",,RA7,University Hospitals Bristol NHS Foundation Trust,44,43,44,39,44,39,44,39,44,41,44,44,44,44,44,41,44,42,44,34,44,41,44,41,44,42,44,41,44,40,44,40,44,42,44,35,44,32,44,33,44,35,44,35,44,41,44,42,44,42,44,44,44,40,44,41,44,41,44,40,44,44,44,41,44,38,44,43,44,43,44,43,44,41,44,42,44,43,44,41,44,42,44,43,44,43,44,40,44,43,44,43,44,41,44,42,44,44,44,43,44,43,44,36,44,42,44,41,44,42,44,43,44,40,44,41,44,41,44,42,44,43,44,42
"Bristol, North Somerset, Somerset And South Gloucestershire Area Team",,RBA,Taunton And Somerset NHS Foundation Trust,12,8,12,8,12,8,12,9,12,9,12,7,12,9,12,8,12,6,12,7,12,11,12,11,12,8,12,11,12,7,12,8,12,8,12,6,12,7,12,9,12,8,12,9,12,11,12,9,12,11,12,12,12,5,12,6,12,7,12,10,12,7,12,10,12,7,12,8,12,10,12,10,12,8,12,8,11,10,12,10,12,11,12,10,12,9,12,11,12,11,12,9,12,8,12,9,12,9,12,12,12,11,12,8,12,10,12,10,12,7,12,8,12,8,12,8,12,10,12,10,11,11,12,11
"Bristol, North Somerset, Somerset And South Gloucestershire Area Team",,RVJ,North Bristol NHS Trust,39,36,39,35,39,32,39,36,39,35,39,31,39,33,39,36,39,33,39,33,39,36,39,39,39,37,39,37,39,39,39,39,39,39,39,35,39,36,39,38,39,39,39,39,39,37,39,34,39,31,39,31,39,39,39,31,39,31,39,31,39,31,39,31,39,35,39,35,39,35,39,35,39,35,39,37,39,37,39,37,39,38,39,38,39,38,39,38,39,38,39,38,39,34,39,34,39,34,39,34,39,34,39,32,39,32,39,32,39,32,39,32,39,32,39,31,39,31,39,31,39,33,39,33
"Cheshire, Warrington And Wirral Area Team",,RBL,Wirral University Teaching Hospital NHS Foundation Trust,18,18,18,17,18,17,18,18,18,15,18,18,18,18,18,18,18,17,18,15,18,14,18,15,18,16,18,17,18,17,18,15,18,18,18,16,18,17,18,17,18,18,18,18,18,16,18,17,18,17,18,15,18,16,18,18,18,15,18,17,18,18,18,17,18,18,18,16,18,15,18,18,18,16,18,17,18,16,18,17,18,16,18,16,18,15,18,18,18,18,18,15,18,14,18,17,18,15,18,15,18,17,18,15,18,17,18,16,18,15,18,16,18,17,18,18,18,17,18,17,18,16,18,18
"Cheshire, Warrington And Wirral Area Team",,RBT,Mid Cheshire Hospitals NHS Foundation Trust,-,-,11,9,11,9,11,9,11,9,11,9,11,9,11,4,11,4,11,4,11,4,11,5,11,4,11,5,11,7,11,7,11,6,11,8,11,5,11,5,11,4,11,7,11,8,11,8,11,6,11,8,11,9,11,8,11,9,11,8,11,8,11,7,11,8,11,9,11,8,11,6,11,9,11,6,11,8,11,8,11,8,11,8,11,9,11,8,11,8,11,8,11,10,11,9,11,10,11,9,11,9,11,8,11,10,11,9,11,10,11,10,11,10,11,9,11,10,11,9,11,10,11,9
"Cheshire, Warrington And Wirral Area Team",,RJN,East Cheshire NHS Trust,6,4,6,5,6,5,6,5,6,4,6,3,6,4,6,3,6,2,6,4,6,5,6,5,6,4,6,3,6,4,6,4,6,5,6,2,6,4,6,4,6,3,6,3,6,2,6,1,6,2,6,6,6,4,6,6,6,2,6,1,6,2,6,3,6,5,6,4,6,4,6,3,6,2,6,3,6,3,6,3,6,5,6,6,6,5,6,4,6,5,6,6,6,5,6,5,6,5,6,6,6,5,7,7,6,5,6,6,6,5,6,5,6,6,7,7,6,6,6,6,6,6,6,5
"Cheshire, Warrington And Wirral Area Team",,RJR,Countess Of Chester Hospital NHS Foundation Trust,15,9,15,7,15,11,15,12,15,12,15,14,15,13,15,14,15,14,15,14,15,12,15,14,15,11,15,12,15,10,15,10,15,12,15,9,15,13,15,13,15,14,15,11,15,11,15,13,15,11,15,13,15,13,15,12,15,13,15,13,15,11,15,9,15,9,15,12,15,10,15,10,15,13,15,14,15,14,15,13,15,14,15,14,15,14,15,13,15,12,15,14,15,15,15,14,15,15,15,14,15,15,15,14,15,13,15,13,15,15,15,15,15,14,15,14,15,13,15,13,15,14,15,13
"Cheshire, Warrington And Wirral Area Team",,RWW,Warrington And Halton Hospitals NHS Foundation Trust,18,11,18,12,18,15,18,10,18,14,18,11,18,12,18,14,18,11,18,11,18,11,18,11,18,11,18,11,18,12,18,11,18,9,18,11,18,14,18,13,18,14,18,17,18,17,18,18,18,17,18,14,18,15,18,15,18,17,18,18,18,17,18,15,18,17,18,16,18,16,18,17,18,18,18,15,18,16,18,16,18,17,18,15,18,15,18,13,18,14,18,13,18,18,18,18,18,17,18,16,18,16,18,16,18,15,18,16,18,16,18,17,18,16,18,15,18,15,18,17,18,17,18,17
"Cumbria, Northumberland, Tyne And Wear Area Team",,RE9,South Tyneside NHS Foundation Trust,6,3,6,4,6,6,6,6,6,4,6,5,6,5,6,4,6,3,6,5,6,6,6,5,6,5,6,4,6,4,6,5,6,5,6,4,6,5,6,6,6,6,-,-,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,0,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,4,6,6,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,6,6,5,6,6,6,4,6,6,6,4,6,6,6,6,6,5
"Cumbria, Northumberland, Tyne And Wear Area Team",,RLN,City Hospitals Sunderland NHS Foundation Trust,18,15,18,16,18,12,18,11,18,8,18,6,18,11,18,13,18,9,18,14,18,15,18,15,18,16,18,16,18,14,18,15,18,17,18,12,18,13,18,12,18,13,18,14,18,14,18,17,18,13,18,14,18,12,18,14,18,13,18,12,18,17,18,12,18,14,18,15,18,15,18,13,18,6,18,6,18,5,18,6,18,6,18,4,18,14,18,15,18,13,18,13,18,12,18,10,18,11,18,11,18,11,18,12,18,15,18,15,18,14,18,14,18,14,18,15,18,14,18,12,18,13,18,13
"Cumbria, Northumberland, Tyne And Wear Area Team",,RNL,North Cumbria University Hospitals NHS Trust,15,10,15,7,15,6,15,9,15,11,15,11,15,10,15,8,15,10,15,10,15,9,15,12,15,9,15,7,15,9,15,11,15,11,15,9,15,8,15,9,15,9,15,12,15,12,15,14,15,15,15,15,15,12,15,12,15,12,15,12,15,13,15,10,15,11,15,12,15,11,15,13,15,11,15,12,15,10,15,10,15,10,15,12,15,12,15,10,15,12,9,8,9,8,15,14,15,13,15,11,15,13,15,11,15,10,15,11,15,11,15,11,15,12,15,13,15,11,15,12,15,11,15,12
"Cumbria, Northumberland, Tyne And Wear Area Team",,RR7,Gateshead Health NHS Foundation Trust,12,12,12,11,12,11,12,12,12,12,12,11,13,13,12,11,13,13,12,10,12,11,12,12,12,11,12,11,12,8,12,7,13,13,12,12,12,8,12,7,12,9,12,8,12,11,12,12,12,9,12,12,14,14,12,10,12,11,13,13,12,12,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,12,10,12,12,13,13,12,12,13,13,12,12,12,10,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,13,13,12,11,12,11,13,13,14,14,13,13,12,10
"Cumbria, Northumberland, Tyne And Wear Area Team",,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,85,74,86,70,86,73,80,76,80,60,86,70,86,73,86,76,86,80,80,75,86,73,86,69,86,75,86,72,80,64,86,70,86,75,89,72,89,67,89,68,89,68,356,264,89,69,89,74,89,77,89,78,261,210,89,79,89,76,89,81,89,78,267,207,89,73,89,70,89,75,89,72,89,65,89,66,89,71,89,71,89,69,89,67,89,71,89,73,89,73,89,77,89,65,89,75,89,76,89,76,89,78,89,70,89,73,89,74,89,72,89,69,89,64,89,75,89,71,89,77,89,77,0,0
"Cumbria, Northumberland, Tyne And Wear Area Team",,RTF,Northumbria Healthcare NHS Foundation Trust,17,16,17,17,17,15,17,15,17,17,17,16,17,17,17,15,17,14,17,12,17,16,17,14,17,15,17,17,17,13,17,17,17,0,17,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,15,17,14,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,15,17,16,17,16,17,17,17,17,17,17,17,12,17,16,17,17,17,15,17,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,17,17,17
"Cumbria, Northumberland, Tyne And Wear Area Team",,RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,14,14,14,12,14,10,14,13,14,11,14,12,14,12,14,11,14,11,14,13,14,13,14,13,14,13,14,14,14,14,14,13,14,14,14,11,14,12,14,10,14,13,14,14,14,14,14,14,14,14,14,0,14,14,14,14,14,13,14,12,14,12,14,14,14,12,14,13,14,13,14,14,14,14,14,13,14,13,14,12,14,14,14,13,14,12,14,14,14,14,14,13,14,14,14,14,14,14,14,12,14,10,14,12,14,12,14,11,14,13,14,13,14,11,14,10,14,13,14,14,14,13,14,12
Derbyshire And Nottinghamshire Area Team,,RFS,Chesterfield Royal Hospital NHS Foundation Trust,15,13,15,10,15,13,15,12,15,15,15,14,15,15,15,14,15,14,15,13,15,14,15,13,15,15,15,15,15,14,15,12,15,13,15,12,15,13,15,14,15,15,15,13,15,14,15,14,15,15,15,14,15,15,15,13,15,12,15,12,15,13,15,14,15,12,15,14,15,13,15,12,15,15,15,14,15,13,15,15,15,15,15,14,15,12,15,14,15,13,15,14,15,15,15,15,15,15,15,15,15,14,15,14,15,14,15,14,15,15,15,13,15,14,15,14,15,14,15,15,15,15,15,15
Derbyshire And Nottinghamshire Area Team,,RK5,Sherwood Forest Hospitals NHS Foundation Trust,11,10,11,5,11,7,11,6,11,3,11,5,11,7,11,9,11,8,11,11,11,11,11,10,11,10,11,8,11,6,11,7,11,5,11,5,11,10,11,11,11,9,11,10,11,11,11,11,12,12,11,11,13,13,12,12,12,10,12,8,12,6,12,9,12,8,12,10,12,11,11,11,11,9,11,11,11,10,11,9,12,12,11,7,11,8,11,10,11,10,11,9,12,12,12,11,13,13,11,11,11,11,11,8,12,12,13,13,14,14,14,14,15,15,15,15,14,14,13,13,13,13,11,11
Derbyshire And Nottinghamshire Area Team,,RTG,Derby Hospitals NHS Foundation Trust,16,12,16,14,16,15,16,13,16,15,16,15,16,15,16,13,16,14,16,15,16,12,16,9,16,12,16,15,16,10,16,15,16,14,16,13,16,12,16,15,16,14,16,13,16,15,16,14,16,13,16,9,16,11,16,16,16,9,16,9,16,12,16,14,16,14,16,14,16,11,16,13,16,16,16,16,16,16,16,12,16,16,16,16,16,15,16,11,16,12,16,16,16,12,16,12,16,14,16,14,16,15,16,14,16,16,16,16,16,16,16,13,16,16,16,16,16,16,16,16,16,15,16,13
